annot1_idx,annot2_idx,Gof,label1,label2,label1_orig
1,1,92.749658002736,unknown_part1_L,parc_0,unknown_part1
2,3,100.0,bankssts_part1_L,parc_2,bankssts_part1
3,3,100.0,bankssts_part2_L,parc_2,bankssts_part2
4,7,76.4419735927728,caudalanteriorcingulate_part1_L,parc_6,caudalanteriorcingulate_part1
5,3,100.0,caudalmiddlefrontal_part1_L,parc_2,caudalmiddlefrontal_part1
6,3,99.7987927565392,caudalmiddlefrontal_part2_L,parc_2,caudalmiddlefrontal_part2
7,3,100.0,caudalmiddlefrontal_part3_L,parc_2,caudalmiddlefrontal_part3
8,3,95.3161592505855,caudalmiddlefrontal_part4_L,parc_2,caudalmiddlefrontal_part4
9,5,92.4324324324324,cuneus_part1_L,parc_4,cuneus_part1
10,5,82.8368794326241,cuneus_part2_L,parc_4,cuneus_part2
11,7,88.7867647058823,entorhinal_part1_L,parc_6,entorhinal_part1
12,3,78.7878787878788,fusiform_part1_L,parc_2,fusiform_part1
13,3,66.2213740458015,fusiform_part2_L,parc_2,fusiform_part2
14,5,100.0,fusiform_part3_L,parc_4,fusiform_part3
15,3,98.8721804511278,fusiform_part4_L,parc_2,fusiform_part4
16,5,87.4852420306966,fusiform_part5_L,parc_4,fusiform_part5
17,4,100.0,inferiorparietal_part1_L,parc_3,inferiorparietal_part1
18,4,77.2670807453416,inferiorparietal_part2_L,parc_3,inferiorparietal_part2
19,4,69.0140845070423,inferiorparietal_part3_L,parc_3,inferiorparietal_part3
20,4,90.1041666666667,inferiorparietal_part4_L,parc_3,inferiorparietal_part4
21,5,52.7441860465116,inferiorparietal_part5_L,parc_4,inferiorparietal_part5
22,4,99.2768595041322,inferiorparietal_part6_L,parc_3,inferiorparietal_part6
23,4,91.6289592760181,inferiorparietal_part7_L,parc_3,inferiorparietal_part7
24,4,100.0,inferiorparietal_part8_L,parc_3,inferiorparietal_part8
25,3,52.2598870056497,inferiortemporal_part1_L,parc_2,inferiortemporal_part1
26,5,58.6550435865504,inferiortemporal_part2_L,parc_4,inferiortemporal_part2
27,3,100.0,inferiortemporal_part3_L,parc_2,inferiortemporal_part3
28,3,100.0,inferiortemporal_part4_L,parc_2,inferiortemporal_part4
29,3,100.0,inferiortemporal_part5_L,parc_2,inferiortemporal_part5
30,3,100.0,inferiortemporal_part6_L,parc_2,inferiortemporal_part6
31,6,56.1755952380952,isthmuscingulate_part1_L,parc_5,isthmuscingulate_part1
32,7,77.072758037225,isthmuscingulate_part2_L,parc_6,isthmuscingulate_part2
33,5,99.5873452544704,lateraloccipital_part1_L,parc_4,lateraloccipital_part1
34,5,100.0,lateraloccipital_part2_L,parc_4,lateraloccipital_part2
35,5,95.6989247311828,lateraloccipital_part3_L,parc_4,lateraloccipital_part3
36,5,100.0,lateraloccipital_part4_L,parc_4,lateraloccipital_part4
