,Unnamed: 0,annot1_idx,annot2_idx,Gof,label1,label2,label1_orig,label1_orig_renamed
0,0,1,9,49.2807825086306,no matching lookup_no matching lookup,parc_0,no matching lookup,no matching lookup
1,1,2,6,70.4616120545324,L_V1_ROI_L,parc_5,L_V1_ROI,V1_L
2,2,3,5,100.0,L_MST_ROI_L,parc_4,L_MST_ROI,MST_L
3,3,4,5,90.3732809430255,L_V6_ROI_L,parc_4,L_V6_ROI,V6_L
4,4,5,5,87.4508519003932,L_V2_ROI_L,parc_4,L_V2_ROI,V2_L
5,5,6,5,100.0,L_V3_ROI_L,parc_4,L_V3_ROI,V3_L
6,6,7,5,100.0,L_V4_ROI_L,parc_4,L_V4_ROI,V4_L
7,7,8,5,100.0,L_V8_ROI_L,parc_4,L_V8_ROI,V8_L
8,8,9,2,96.0149439601494,L_4_ROI_L,parc_1,L_4_ROI,4_L
9,9,10,3,50.0527240773286,L_3b_ROI_L,parc_2,L_3b_ROI,3b_L
10,10,11,2,66.5865384615385,L_FEF_ROI_L,parc_1,L_FEF_ROI,FEF_L
11,11,12,2,54.1333333333333,L_PEF_ROI_L,parc_1,L_PEF_ROI,PEF_L
12,12,13,2,75.4573170731707,L_55b_ROI_L,parc_1,L_55b_ROI,55b_L
13,13,14,5,100.0,L_V3A_ROI_L,parc_4,L_V3A_ROI,V3A_L
14,14,15,7,64.3772893772894,L_RSC_ROI_L,parc_6,L_RSC_ROI,RSC_L
15,15,16,3,100.0,L_POS2_ROI_L,parc_2,L_POS2_ROI,POS2_L
16,16,17,5,59.1240875912409,L_V7_ROI_L,parc_4,L_V7_ROI,V7_L
17,17,18,3,100.0,L_IPS1_ROI_L,parc_2,L_IPS1_ROI,IPS1_L
18,18,19,5,52.6923076923077,L_FFC_ROI_L,parc_4,L_FFC_ROI,FFC_L
19,19,20,5,69.4677871148459,L_V3B_ROI_L,parc_4,L_V3B_ROI,V3B_L
20,20,21,5,100.0,L_LO1_ROI_L,parc_4,L_LO1_ROI,LO1_L
21,21,22,5,100.0,L_LO2_ROI_L,parc_4,L_LO2_ROI,LO2_L
22,22,23,5,100.0,L_PIT_ROI_L,parc_4,L_PIT_ROI,PIT_L
23,23,24,5,100.0,L_MT_ROI_L,parc_4,L_MT_ROI,MT_L
24,24,25,6,64.75,L_A1_ROI_L,parc_5,L_A1_ROI,A1_L
25,25,26,3,57.1592210767468,L_PSL_ROI_L,parc_2,L_PSL_ROI,PSL_L
26,26,27,3,100.0,L_SFL_ROI_L,parc_2,L_SFL_ROI,SFL_L
27,27,28,3,100.0,L_PCV_ROI_L,parc_2,L_PCV_ROI,PCV_L
28,28,29,3,84.8529411764706,L_STV_ROI_L,parc_2,L_STV_ROI,STV_L
29,29,30,3,100.0,L_7Pm_ROI_L,parc_2,L_7Pm_ROI,7Pm_L
30,30,31,3,100.0,L_7m_ROI_L,parc_2,L_7m_ROI,7m_L
31,31,32,6,44.9760765550239,L_POS1_ROI_L,parc_5,L_POS1_ROI,POS1_L
32,32,33,7,100.0,L_23d_ROI_L,parc_6,L_23d_ROI,23d_L
33,33,34,7,83.8709677419355,L_v23ab_ROI_L,parc_6,L_v23ab_ROI,v23ab_L
34,34,35,7,100.0,L_d23ab_ROI_L,parc_6,L_d23ab_ROI,d23ab_L
35,35,36,7,96.4426877470356,L_31pv_ROI_L,parc_6,L_31pv_ROI,31pv_L
