annot1_idx,annot2_idx,Gof,label1,label2,label1_orig
1,9,46.9050102506924,no label,parc_0,no label
2,1,100.0,unknown,parc_0,unknown
3,3,100.0,bankssts_L,parc_2,bankssts
4,7,76.4419735927728,caudalanteriorcingulate_L,parc_6,caudalanteriorcingulate
5,3,98.8758029978587,caudalmiddlefrontal_L,parc_2,caudalmiddlefrontal
6,5,88.2822085889571,cuneus_L,parc_4,cuneus
7,7,88.929219600726,entorhinal_L,parc_6,entorhinal
8,3,56.3852354688163,fusiform_L,parc_2,fusiform
9,4,84.2840808029475,inferiorparietal_L,parc_3,inferiorparietal
10,3,81.6761041902605,inferiortemporal_L,parc_2,inferiortemporal
11,7,50.6519162386409,isthmuscingulate_L,parc_6,isthmuscingulate
12,5,98.6361498667503,lateraloccipital_L,parc_4,lateraloccipital
13,5,93.3858643744031,lateralorbitofrontal_L,parc_4,lateralorbitofrontal
14,5,66.9916765755054,lingual_L,parc_4,lingual
15,5,96.1929890689785,medialorbitofrontal_L,parc_4,medialorbitofrontal
16,3,87.7583108715184,middletemporal_L,parc_2,middletemporal
17,7,87.4863982589771,parahippocampal_L,parc_6,parahippocampal
18,2,66.3630843958713,paracentral_L,parc_1,paracentral
19,3,98.1724911830715,parsopercularis_L,parc_2,parsopercularis
20,5,81.6945606694561,parsorbitalis_L,parc_4,parsorbitalis
21,3,54.7409579667644,parstriangularis_L,parc_2,parstriangularis
22,6,99.2154811715481,pericalcarine_L,parc_5,pericalcarine
23,6,41.6535350351928,postcentral_L,parc_5,postcentral
24,7,80.802204531537,posteriorcingulate_L,parc_6,posteriorcingulate
25,2,66.6573556797021,precentral_L,parc_1,precentral
26,3,72.5095785440613,precuneus_L,parc_2,precuneus
27,7,43.9259259259259,rostralanteriorcingulate_L,parc_6,rostralanteriorcingulate
28,3,92.9311058953472,rostralmiddlefrontal_L,parc_2,rostralmiddlefrontal
29,3,96.1408982675096,superiorfrontal_L,parc_2,superiorfrontal
30,3,44.07039020658,superiorparietal_L,parc_2,superiorparietal
31,3,42.2087745839637,superiortemporal_L,parc_2,superiortemporal
32,4,96.6744186046512,supramarginal_L,parc_3,supramarginal
33,5,100.0,frontalpole_L,parc_4,frontalpole
34,7,100.0,temporalpole_L,parc_6,temporalpole
35,6,55.5451127819549,transversetemporal_L,parc_5,transversetemporal
36,8,79.2312105565118,insula_L,parc_7,insula
37,11,98.8615664845173,bankssts_R,parc_2,bankssts
38,15,65.9825870646766,caudalanteriorcingulate_R,parc_6,caudalanteriorcingulate
39,11,100.0,caudalmiddlefrontal_R,parc_2,caudalmiddlefrontal
40,13,98.7789987789988,cuneus_R,parc_4,cuneus
41,11,60.9756097560976,entorhinal_R,parc_2,entorhinal
42,11,72.1518987341772,fusiform_R,parc_2,fusiform
43,12,84.7147581645308,inferiorparietal_R,parc_3,inferiorparietal
44,11,84.6355407336827,inferiortemporal_R,parc_2,inferiortemporal
45,15,46.5242881072027,isthmuscingulate_R,parc_6,isthmuscingulate
46,13,98.541002850914,lateraloccipital_R,parc_4,lateraloccipital
47,13,96.8764354616445,lateralorbitofrontal_R,parc_4,lateralorbitofrontal
48,13,71.4432460195172,lingual_R,parc_4,lingual
49,13,95.8943234559086,medialorbitofrontal_R,parc_4,medialorbitofrontal
50,11,89.9545184892229,middletemporal_R,parc_2,middletemporal
51,15,58.2663605051665,parahippocampal_R,parc_6,parahippocampal
52,11,68.6243800574263,paracentral_R,parc_2,paracentral
53,11,98.5436893203884,parsopercularis_R,parc_2,parsopercularis
54,13,75.6871035940803,parsorbitalis_R,parc_4,parsorbitalis
55,11,68.5294117647059,parstriangularis_R,parc_2,parstriangularis
56,14,81.4042786615469,pericalcarine_R,parc_5,pericalcarine
57,14,44.2000437732545,postcentral_R,parc_5,postcentral
58,15,75.1169004676019,posteriorcingulate_R,parc_6,posteriorcingulate
59,10,56.394208313872,precentral_R,parc_1,precentral
60,11,72.3887147335423,precuneus_R,parc_2,precuneus
61,15,50.9990485252141,rostralanteriorcingulate_R,parc_6,rostralanteriorcingulate
62,11,89.5091556459817,rostralmiddlefrontal_R,parc_2,rostralmiddlefrontal
63,11,94.5361171914464,superiorfrontal_R,parc_2,superiorfrontal
64,12,54.5294462923107,superiorparietal_R,parc_3,superiorparietal
65,12,39.6622015142691,superiortemporal_R,parc_3,superiortemporal
66,12,98.7239263803681,supramarginal_R,parc_3,supramarginal
67,13,97.5609756097561,frontalpole_R,parc_4,frontalpole
68,15,98.4088127294982,temporalpole_R,parc_6,temporalpole
69,14,72.2151088348271,transversetemporal_R,parc_5,transversetemporal
70,16,88.5854616895874,insula_R,parc_7,insula
